ViralZone	NCBI	comment
Cercopithecine herpesvirus	Cercopithecine herpesvirus 1	also include Cercopithecid herpesvirus 2
Human enterovirus 68, 70	Human enterovirus D68	
Human enterovirus 68, 70	Human enterovirus 70	
Human papillomavirus 16,18	Human papillomavirus 16	
Human papillomavirus 16,18	Human papillomavirus 18	
Human parainfluenza	Human parainfluenza virus 1	
Human parainfluenza	Human parainfluenza virus 2	
Human parainfluenza	Human parainfluenza virus 3	
Human parainfluenza	Human parainfluenza virus 4	
Human T-lymphotropic virus	Human T-lymphotropic virus 1	
Human T-lymphotropic virus	Human T-lymphotropic virus 2	
Human T-lymphotropic virus	Human T-lymphotropic virus 3	
Human T-lymphotropic virus	Human T-lymphotropic virus 4	
Human adenovirus	Mastadenovirus	 or limit to Human mastadenovirus A through G since this includes Bat, Canine and other hosts
Human SARS coronavirus	SARS coronavirus	
