species	family	year
Yellow fever virus	flavi	1901
Rabies virus	rhabdo	1903
Dengue virus	flavi	1907
Human papillomavirus	papilloma	1907
Molluscum contagiosum virus	pox	1907
Variola virus	pox	1907
Poliovirus	picorna	1909
Measles virus	paramyxo	1911
Human herpesvirus 3	herpes	1919
Human herpesvirus 1	herpes	1921
Rift Valley fever virus	bunya	1931
Influenza A virus	orthomyxo	1933
Lymphocytic choriomeningitis virus	arena	1933
St Louis encephalitis virus	flavi	1933
Cercopithecine herpes virus 1	herpes	1934
Japanese encephalitis virus	flavi	1934
Louping ill virus	flavi	1934
Mumps virus	paramyxo	1934
Orf virus	pox	1934
Tick-borne encephalitis virus	flavi	1937
Cowpox virus	pox	1938
Eastern equine encephalitis virus	toga	1938
Rubella virus	toga	1938
Venezuelan equine encephalitis virus	toga	1938
Western equine encephalitis virus	toga	1938
Influenza B virus	orthomyxo	1940
West Nile virus	flavi	1940
Bwamba virus	bunya	1941
Newcastle disease virus	paramyxo	1943
Sandfly fever Naples virus	bunya	1944
Sandfly fever Sicilian virus	bunya	1944
Colorado tick fever virus	reo	1946
Omsk haemorrhagic fever virus	flavi	1947
Encephalomyocarditis virus	picorna	1948
Human enterovirus C	picorna	1948
Human enterovirus A	picorna	1949
Human enterovirus B	picorna	1949
Influenza C virus	orthomyxo	1950
Vesicular stomatitis virus	rhabdo	1950
Bunyamwera virus	bunya	1951
California encephalitis virus	bunya	1952
Murray Valley encephalitis virus	flavi	1952
Ntaya virus	flavi	1952
Human rhinovirus A	picorna	1953
Human adenovirus B	adeno	1954
Human adenovirus C	adeno	1954
Human adenovirus E	adeno	1954
Human adenovirus D	adeno	1955
Chikungunya virus	toga	1956
Human herpesvirus 5	herpes	1956
Human parainfluenza virus 2	paramyxo	1956
Ilheus virus	flavi	1956
Human adenovirus A	adeno	1957
Human respiratory syncytial virus	paramyxo	1957
Kyasanur forest disease virus	flavi	1957
Mayaro virus	toga	1957
Wesselsbron virus	flavi	1957
Human parainfluenza virus 1	paramyxo	1958
Human parainfluenza virus 3	paramyxo	1958
Human parechovirus	picorna	1958
Junin virus	arena	1958
Banzi virus	flavi	1959
Guaroa virus	bunya	1959
Powassan virus	flavi	1959
Human parainfluenza virus 4	paramyxo	1960
Human rhinovirus B	picorna	1960
Caraparu virus	bunya	1961
Catu virus	bunya	1961
O'nyong-nyong virus	toga	1961
Oropouche virus	bunya	1961
Rio Bravo virus	flavi	1962
Sindbis virus	toga	1962
Equine rhinitis virus A	picorna	1963
Great Island virus	reo	1963
Pseudocowpox virus	pox	1963
Yaba monkey tumour virus	pox	1963
Human herpesvirus 4	herpes	1964
Machupo virus	arena	1964
Zika virus	flavi	1964
Chagres virus	bunya	1965
Foot and mouth disease virus	picorna	1965
Tanapox virus	pox	1965
Wyeomyia virus	bunya	1965
Changuinola virus	reo	1966
Human coronavirus 229E	corona	1966
Quaranfil virus	unassigned	1966
Saimiriine herpesvirus 1	herpes	1966
Chandipura virus	rhabdo	1967
Crimean-Congo haemorrhagic fever virus	bunya	1967
Human coronavirus OC43	corona	1967
Human enterovirus D	picorna	1967
Piry virus	rhabdo	1967
Tacaiuma virus	bunya	1967
Human herpesvirus 2	herpes	1968
Marburg virus	filo	1968
Tataguine virus	bunya	1968
Everglades virus	toga	1970
Hepatitis B virus	hepadna	1970
Lassa virus	arena	1970
Punta Toro virus	bunya	1970
Aroa virus	flavi	1971
BK virus	polyoma	1971
Duvenhage virus	rhabdo	1971
JC virus	polyoma	1971
Vaccinia virus	pox	1971
Bovine papular stomatitis virus	pox	1972
Mokola virus	rhabdo	1972
Monkeypox virus	pox	1972
Norwalk virus	calici	1972
Ross River virus	toga	1972
Bangui virus	bunya	1973
Dugbe virus	bunya	1973
Hepatitis A virus	picorna	1973
Kotonkan virus	rhabdo	1973
Rotavirus A	reo	1973
Tamdy virus	bunya	1973
Getah virus	toga	1974
B19 virus	parvo	1975
Bhanja virus	bunya	1975
Human astrovirus	astro	1975
Lebombo virus	reo	1975
Shuni virus	bunya	1975
Thogoto virus	orthomyxo	1975
Orungo virus	reo	1976
Wanowrie virus	bunya	1976
Hepatitis delta virus	unassigned	1977
Sudan Ebola virus	filo	1977
Zaire Ebola virus	filo	1977
Hantaan virus	bunya	1978
Issyk-Kul virus	bunya	1978
Human T-lymphotropic virus 1	retro	1980
Puumala virus	bunya	1980
Human T-lymphotropic virus 2	retro	1982
Seoul virus	bunya	1982
Candiru virus	bunya	1983
Hepatitis E virus	unassigned	1983
Human adenovirus F	adeno	1983
Human immunodeficiency virus 1	retro	1983
Human torovirus	corona	1984
Rotavirus B	reo	1984
Borna disease virus	borna	1985
European bat lyssavirus 2	rhabdo	1986
Human herpesvirus 6	herpes	1986
Human immunodeficiency virus 2	retro	1986
Kasokero virus	bunya	1986
Kokobera virus	flavi	1986
Rotavirus C	reo	1986
Dhori virus	orthomyxo	1987
Sealpox virus	pox	1987
Suid herpesvirus 1	herpes	1987
Barmah Forest virus	toga	1988
Picobirnavirus	birna	1988
European bat lyssavirus 1	rhabdo	1989
Hepatitis C virus	flavi	1989
Banna virus	reo	1990
Gan Gan virus	bunya	1990
Reston Ebola virus	filo	1990
Semliki Forest virus	toga	1990
Trubanaman virus	bunya	1990
Guanarito virus	arena	1991
Dobrava-Belgrade virus	bunya	1992
Sin Nombre virus	bunya	1993
Hendra virus	paramyxo	1994
Human herpesvirus 7	herpes	1994
Human herpesvirus 8	herpes	1994
Sabia virus	arena	1994
Bayou virus	bunya	1995
Black Creek Canal virus	bunya	1995
Cote d'Ivoire Ebola virus	filo	1995
Hepatitis G virus	flavi	1995
New York virus	bunya	1995
Andes virus	bunya	1996
Australian bat lyssavirus	rhabdo	1996
Juquitiba virus	bunya	1996
Usutu virus	flavi	1996
Laguna Negra virus	bunya	1997
Menangle virus	paramyxo	1998
Nipah virus	paramyxo	1999
Torque teno virus	circo	1999
Whitewater Arroyo virus	arena	2000
Baboon cytomegalovirus	herpes	2001
Human metapneumovirus	paramyxo	2001
SARS coronavirus	corona	2003
Human coronavirus NL63	corona	2004
Human bocavirus	parvo	2005
Human coronavirus HKU1	corona	2005
Human T-lymphotropic virus 3	retro	2005
Human T-lymphotropic virus 4	retro	2005
